LeafClass,SplitPath_1,SplitPath_2,SplitPath_3,SplitPath_4,SplitPath_5,SplitPath_6,SplitPath_7,SplitPath_8,SplitPath_9,SplitPath_10,SplitPath_11,SplitPath_12,SplitPath_13,SplitPath_14,SplitPath_15,SplitPath_16,SplitPath_17,SplitPath_18
Cluster1,mCherry >= 3226.3672,GFP < 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,,,
Cluster1,mCherry >= 5865.0325,GFP >= 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,,,
Cluster6,CFP >= 13623.2215,GFP < 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,,,
Cluster8,CFP < 8344.1374,mCherry < 3226.3672,GFP < 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,,
Cluster7,GFP < 2710.4351,CFP < 13623.2215,GFP < 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,,
Cluster5,CFP >= 9751.3886,GFP < 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,,
Cluster5,CFP >= 12572.3881,GFP >= 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,,
Cluster8,GFP < 3716.9569,CFP >= 8344.1374,mCherry < 3226.3672,GFP < 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster5,GFP >= 3716.9569,CFP >= 8344.1374,mCherry < 3226.3672,GFP < 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster2,CFP < 4949.6069,GFP < 9668.6763,mCherry < 5865.0325,GFP >= 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster4,CFP >= 4949.6069,GFP < 9668.6763,mCherry < 5865.0325,GFP >= 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster3,mCherry < 2383.5418,GFP >= 9668.6763,mCherry < 5865.0325,GFP >= 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster2,mCherry >= 2383.5418,GFP >= 9668.6763,mCherry < 5865.0325,GFP >= 4474.4265,CFP < 8810.3508,,,,,,,,,,,,,
Cluster7,CFP < 11784.0513,GFP >= 2710.4351,CFP < 13623.2215,GFP < 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
Cluster6,CFP >= 11784.0513,GFP >= 2710.4351,CFP < 13623.2215,GFP < 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
Cluster5,GFP < 5741.0653,CFP < 9751.3886,GFP < 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
Cluster4,GFP >= 5741.0653,CFP < 9751.3886,GFP < 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
Cluster4,mCherry < 4468.2378,CFP < 12572.3881,GFP >= 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
Cluster2,mCherry >= 4468.2378,CFP < 12572.3881,GFP >= 9826.7314,GFP >= 3150.002,CFP >= 8810.3508,,,,,,,,,,,,,
